E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
3000,1.10742691742708000000,1.10814004326583000000,1.10988835177373000000,1.11339647081918000000,1.12047021905838000000,1.13537684949414000000,1.14774153137565000000,0.51133423044150400000
3500,1.10211145429594000000,1.10273288731218000000,1.10418289768340000000,1.10718649059521000000,1.11319367641883000000,1.12624376975980000000,1.13763670839081000000,0.53783991833600100000
4000,1.09853033881060000000,1.09909751736949000000,1.10032640424709000000,1.10287870776209000000,1.10807784455192000000,1.11961047524935000000,1.13000874882901000000,0.55924751204176800000
4440,1.09429660415141000000,1.09473643397623000000,1.09587999152076000000,1.09816710660982000000,1.10274133678795000000,1.11312132065369000000,1.12270961083476000000,0.57483998784635300000
5000,1.09137503255966000000,1.09186069971054000000,1.09283203401231000000,1.09477470261584000000,1.09882192887320000000,1.10788771568969000000,1.11646783535529000000,0.59105692262483200000
6000,1.08456485849099000000,1.08499065114629000000,1.08577127101434000000,1.08726154530789000000,1.09045499022264000000,1.09783539624783000000,1.10471904417518000000,0.61222596942273200000
6129,1.08373581042386000000,1.08415496950738000000,1.08492342782715000000,1.08639048461945000000,1.08946431789855000000,1.09665988216553000000,1.10329656765449000000,0.61438941264447300000
7000,1.07841659404643000000,1.07879591750546000000,1.07942812327053000000,1.08062931422415000000,1.08315813728441000000,1.08929053320553000000,1.09472750278508000000,0.62672454108104300000
8000,1.07344722398442000000,1.07378921322373000000,1.07430219708269000000,1.07532816480062000000,1.07743709844302000000,1.08256693703266000000,1.08672780611092000000,0.63723994924578100000
9000,1.06848185324411000000,1.06879306155088000000,1.06925987401103000000,1.07008976282909000000,1.07180140851632000000,1.07615832481111000000,1.07937414398106000000,0.64456427137206500000
10000,1.06458482030581000000,1.06491772599007000000,1.06529818962922000000,1.06596400099774000000,1.06743829759946000000,1.07119537603610000000,1.07347815787102000000,0.65006968544829700000
12500,1.05519121505915000000,1.05546606578868000000,1.05574091651821000000,1.05621208919741000000,1.05723296333567000000,1.05986367746118000000,1.06049190770010000000,0.65799264649703200000
15000,1.04790573211950000000,1.04813886649926000000,1.04837200087902000000,1.04867174508158000000,1.04940445313226000000,1.05133613799314000000,1.05076995449944000000,0.66126901573966000000
17500,1.04146303312734000000,1.04169346442045000000,1.04186628789029000000,1.04212552309504000000,1.04264399350454000000,1.04411299299812000000,1.04261518959290000000,0.66182747772677300000
20000,1.03677743146415000000,1.03700513893849000000,1.03715694392137000000,1.03733404973474000000,1.03771356219196000000,1.03887740039411000000,1.03667622814223000000,0.66138900961258400000
25000,1.02901329603836000000,1.02923568049103000000,1.02933676433316000000,1.02943784817528000000,1.02966023262795000000,1.03036781952281000000,1.02723422041701000000,0.65833884697525100000
30000,1.02353382793678000000,1.02375132699302000000,1.02383498047618000000,1.02388517256608000000,1.02401901813915000000,1.02448747764488000000,1.02067287881248000000,0.65458850577875000000
35000,1.01758189854910000000,1.01779499875542000000,1.01786603215753000000,1.01789444551837000000,1.01796547892048000000,1.01826381920933000000,1.01400181508289000000,0.64996983596297200000
40000,1.01619539551604000000,1.01639221579383000000,1.01646602339800000000,1.01647832466537000000,1.01650292720009000000,1.01669974747788000000,1.01204986841501000000,0.64677603536469700000
45000,1.01218333261688000000,1.01237800405600000000,1.01243207945575000000,1.01244289453570000000,1.01244289453570000000,1.01256186041517000000,1.00764099903745000000,0.64234004353151300000
50000,1.01113849951522000000,1.01133107898375000000,1.01142736871802000000,1.01142736871802000000,1.01133107898375000000,1.01142736871802000000,1.00622772306772000000,0.63913274015639100000
